raw,calibration
0,2000
244,2000
245,1999
246,1997
247,1994
277,1916
278,1913
279,1911
280,1909
281,1906
282,1904
283,1902
284,1899
285,1897
286,1894
287,1892
288,1890
289,1888
290,1885
291,1883
292,1881
293,1878
294,1876
295,1874
296,1872
297,1869
298,1867
299,1865
300,1863
301,1861
302,1858
303,1856
304,1854
305,1852
306,1850
307,1848
308,1845
309,1843
310,1841
311,1839
312,1837
313,1835
314,1833
315,1831
316,1829
317,1827
318,1824
319,1822
320,1820
321,1818
322,1816
323,1814
324,1812
325,1810
326,1808
327,1806
328,1804
329,1802
330,1800
331,1798
332,1796
333,1795
334,1793
335,1791
336,1789
337,1787
338,1785
339,1783
340,1781
341,1779
342,1777
343,1775
344,1774
345,1772
346,1770
347,1768
348,1766
349,1764
350,1762
351,1761
422,1645
423,1643
424,1642
425,1640
426,1639
427,1637
428,1636
429,1634
430,1633
431,1631
432,1630
433,1629
434,1627
435,1626
436,1624
437,1623
438,1622
439,1620
440,1619
441,1617
442,1616
443,1615
444,1613
445,1612
446,1610
447,1609
448,1608
449,1606
450,1605
451,1604
452,1602
453,1601
454,1600
455,1598
456,1597
457,1595
458,1594
459,1593
460,1591
461,1590
462,1589
463,1588
464,1586
465,1585
466,1584
467,1582
468,1581
469,1580
470,1578
471,1577
472,1576
473,1574
474,1573
475,1572
476,1571
477,1569
478,1568
479,1567
480,1566
481,1564
482,1563
483,1562
484,1561
485,1559
486,1558
487,1557
488,1556
489,1554
490,1553
491,1552
492,1551
493,1549
494,1548
495,1547
496,1546
497,1544
498,1543
499,1542
500,1541
501,1540
502,1538
503,1537
504,1536
505,1535
506,1534
507,1532
508,1531
509,1530
510,1529
511,1528
512,1527
513,1525
514,1524
515,1523
516,1522
517,1521
518,1520
519,1518
520,1517
521,1516
522,1515
523,1514
524,1513
525,1511
526,1510
527,1509
528,1508
529,1507
530,1506
531,1505
532,1504
562,1471
563,1470
564,1469
565,1468
566,1467
567,1466
568,1464
569,1463
570,1462
571,1461
572,1460
573,1459
574,1458
575,1457
576,1456
577,1455
578,1454
579,1453
580,1452
581,1451
582,1450
583,1449
584,1448
585,1447
586,1446
587,1445
588,1444
589,1443
590,1442
591,1441
592,1440
593,1439
594,1438
595,1437
596,1436
597,1435
598,1434
599,1433
600,1432
601,1431
602,1430
603,1429
604,1428
605,1427
606,1426
607,1425
608,1424
609,1423
610,1422
611,1421
612,1420
613,1419
614,1418
615,1417
616,1417
617,1416
618,1415
619,1414
620,1413
621,1412
622,1411
623,1410
624,1409
625,1408
626,1407
627,1406
628,1405
629,1404
630,1403
631,1402
632,1401
633,1401
634,1400
635,1399
636,1398
637,1397
638,1396
639,1395
640,1394
641,1393
642,1392
643,1391
644,1390
645,1389
646,1389
647,1388
648,1387
649,1386
650,1385
651,1384
652,1383
653,1382
654,1381
655,1380
656,1380
657,1379
658,1378
659,1377
660,1376
661,1375
662,1374
663,1373
664,1373
665,1372
666,1371
667,1370
668,1369
669,1368
670,1367
671,1366
672,1366
673,1365
674,1364
675,1363
676,1362
677,1361
678,1360
679,1359
680,1359
681,1358
682,1357
683,1356
684,1355
685,1354
686,1353
687,1353
688,1352
689,1351
690,1350
691,1349
692,1348
693,1348
694,1347
695,1346
696,1345
697,1344
698,1343
699,1343
700,1342
701,1341
702,1340
761,1293
762,1293
763,1292
764,1291
765,1290
766,1289
767,1289
768,1288
769,1287
770,1286
771,1286
772,1285
773,1284
774,1283
775,1283
776,1282
777,1281
778,1281
779,1280
780,1279
781,1278
782,1278
783,1277
784,1276
785,1275
786,1275
787,1274
788,1273
789,1272
790,1272
791,1271
792,1270
793,1269
794,1269
795,1268
796,1267
797,1267
798,1266
799,1265
800,1264
801,1264
802,1263
803,1262
804,1262
805,1261
806,1260
807,1259
808,1259
809,1258
810,1257
811,1257
812,1256
813,1255
814,1254
815,1254
816,1253
817,1252
818,1252
819,1251
820,1250
821,1249
822,1249
823,1248
824,1247
825,1247
826,1246
827,1245
828,1245
829,1244
830,1243
831,1243
832,1242
833,1241
834,1240
835,1240
836,1239
837,1238
838,1238
839,1237
840,1236
841,1236
842,1235
843,1234
844,1234
845,1233
846,1232
847,1232
848,1231
849,1230
850,1229
851,1229
852,1228
853,1227
854,1227
855,1226
856,1225
857,1225
858,1224
859,1223
860,1223
861,1222
862,1221
863,1221
864,1220
865,1219
866,1219
867,1218
868,1217
869,1217
870,1216
871,1215
872,1215
873,1214
874,1213
875,1213
876,1212
877,1212
878,1211
879,1210
880,1210
881,1209
882,1208
883,1208
884,1207
885,1206
886,1206
887,1205
888,1204
889,1204
890,1203
891,1202
892,1202
893,1201
894,1200
895,1200
896,1199
897,1199
898,1198
899,1197
900,1197
901,1196
902,1195
903,1195
904,1194
905,1193
906,1193
907,1192
908,1192
909,1191
910,1190
911,1190
912,1189
913,1188
914,1188
915,1187
916,1186
917,1186
918,1185
919,1185
920,1184
921,1183
922,1183
923,1182
924,1181
925,1181
926,1180
927,1180
928,1179
929,1178
930,1178
931,1177
932,1177
933,1176
934,1175
935,1175
936,1174
937,1173
938,1173
939,1172
940,1172
941,1171
942,1170
1008,1131
1009,1131
1010,1130
1011,1130
1012,1129
1013,1129
1014,1128
1015,1127
1016,1127
1017,1126
1018,1126
1019,1125
1020,1125
1021,1124
1022,1124
1023,1123
1024,1122
1025,1122
1026,1121
1027,1121
1028,1120
1029,1120
1030,1119
1031,1118
1032,1118
1033,1117
1034,1117
1035,1116
1036,1116
1037,1115
1038,1115
1039,1114
1040,1113
1041,1113
1042,1112
1043,1112
1044,1111
1045,1111
1046,1110
1047,1110
1048,1109
1049,1108
1050,1108
1051,1107
1052,1107
1053,1106
1054,1106
1055,1105
1056,1105
1057,1104
1058,1104
1059,1103
1060,1102
1061,1102
1062,1101
1063,1101
1064,1100
1065,1100
1066,1099
1067,1099
1068,1098
1069,1098
1070,1097
1071,1097
1072,1096
1073,1095
1074,1095
1075,1094
1076,1094
1077,1093
1078,1093
1079,1092
1080,1092
1081,1091
1082,1091
1083,1090
1084,1090
1085,1089
1086,1088
1087,1088
1088,1087
1089,1087
1090,1086
1091,1086
1092,1085
1093,1085
1094,1084
1095,1084
1096,1083
1097,1083
1098,1082
1099,1082
1100,1081
1101,1081
1102,1080
1103,1080
1104,1079
1105,1078
1106,1078
1107,1077
1108,1077
1109,1076
1110,1076
1111,1075
1112,1075
1113,1074
1114,1074
1115,1073
1116,1073
1117,1072
1118,1072
1119,1071
1120,1071
1121,1070
1122,1070
1123,1069
1124,1069
1125,1068
1126,1068
1127,1067
1128,1067
1129,1066
1130,1066
1131,1065
1132,1064
1133,1064
1134,1063
1135,1063
1136,1062
1137,1062
1138,1061
1139,1061
1140,1060
1141,1060
1142,1059
1143,1059
1144,1058
1145,1058
1146,1057
1147,1057
1148,1056
1149,1056
1150,1055
1151,1055
1152,1054
1153,1054
1154,1053
1155,1053
1156,1052
1157,1052
1158,1051
1159,1051
1160,1050
1161,1050
1162,1049
1163,1049
1164,1048
1165,1048
1166,1047
1167,1047
1168,1046
1169,1046
1170,1045
1171,1045
1172,1044
1173,1044
1174,1043
1175,1043
1176,1042
1177,1042
1178,1041
1179,1041
1180,1040
1181,1040
1182,1039
1183,1039
1184,1038
1185,1038
1186,1037
1187,1037
1188,1036
1189,1036
1190,1036
1191,1035
1192,1035
1193,1034
1194,1034
1195,1033
1196,1033
1197,1032
1198,1032
1199,1031
1200,1031
1201,1030
1202,1030
1203,1029
1204,1029
1205,1028
1206,1028
1207,1027
1208,1027
1209,1026
1210,1026
1211,1025
1212,1025
1213,1024
1214,1024
1215,1023
1216,1023
1217,1022
1218,1022
1219,1021
1220,1021
1221,1021
1222,1020
1223,1020
1224,1019
1225,1019
1226,1018
1227,1018
1228,1017
1229,1017
1230,1016
1273,996
1274,996
1275,995
1276,995
1277,994
1278,994
1279,993
1280,993
1281,992
1282,992
1283,992
1284,991
1285,991
1286,990
1287,990
1288,989
1289,989
1290,988
1291,988
1292,987
1293,987
1294,987
1295,986
1296,986
1297,985
1298,985
1299,984
1300,984
1301,983
1302,983
1303,982
1304,982
1305,982
1306,981
1307,981
1308,980
1309,980
1310,979
1311,979
1312,978
1313,978
1314,978
1315,977
1316,977
1317,976
1318,976
1319,975
1320,975
1321,974
1322,974
1323,973
1324,973
1325,973
1326,972
1327,972
1328,971
1329,971
1330,970
1331,970
1332,969
1333,969
1334,969
1335,968
1336,968
1337,967
1338,967
1339,966
1340,966
1341,966
1342,965
1343,965
1344,964
1345,964
1346,963
1347,963
1348,962
1349,962
1350,962
1351,961
1352,961
1353,960
1354,960
1355,959
1356,959
1357,958
1358,958
1359,958
1360,957
1361,957
1362,956
1363,956
1364,955
1365,955
1366,955
1367,954
1368,954
1369,953
1370,953
1371,952
1372,952
1373,952
1374,951
1375,951
1376,950
1377,950
1378,949
1379,949
1380,949
1381,948
1382,948
1383,947
1384,947
1385,946
1386,946
1387,946
1388,945
1389,945
1390,944
1391,944
1392,943
1393,943
1394,943
1395,942
1396,942
1397,941
1398,941
1399,940
1400,940
1401,940
1402,939
1403,939
1404,938
1405,938
1406,937
1407,937
1408,937
1409,936
1410,936
1411,935
1412,935
1413,934
1414,934
1415,934
1416,933
1417,933
1418,932
1419,932
1420,931
1421,931
1422,931
1423,930
1424,930
1425,929
1426,929
1427,929
1428,928
1429,928
1430,927
1431,927
1432,926
1433,926
1434,926
1435,925
1436,925
1437,924
1438,924
1439,924
1440,923
1441,923
1442,922
1443,922
1444,921
1445,921
1446,921
1447,920
1448,920
1449,919
1450,919
1451,919
1452,918
1453,918
1454,917
1455,917
1456,917
1457,916
1458,916
1459,915
1460,915
1461,914
1462,914
1463,914
1464,913
1465,913
1466,912
1467,912
1468,912
1469,911
1470,911
1471,910
1472,910
1473,910
1474,909
1475,909
1476,908
1477,908
1478,907
1479,907
1480,907
1481,906
1482,906
1483,905
1484,905
1485,905
1486,904
1487,904
1488,903
1489,903
1490,903
1491,902
1492,902
1493,901
1494,901
1495,901
1496,900
1497,900
1498,899
1499,899
1500,899
1501,898
1502,898
1503,897
1504,897
1505,897
1506,896
1507,896
1508,895
1509,895
1510,895
1511,894
1512,894
1513,893
1514,893
1515,893
1516,892
1517,892
1518,891
1519,891
1520,891
1521,890
1522,890
1523,889
1524,889
1525,889
1526,888
1527,888
1528,887
1529,887
1530,887
1531,886
1532,886
1533,885
1534,885
1535,885
1536,884
1537,884
1538,883
1539,883
1540,883
1541,882
1542,882
1543,881
1544,881
1545,881
1546,880
1547,880
1548,879
1549,879
1550,879
1551,878
1552,878
1553,877
1554,877
1555,877
1556,876
1557,876
1558,876
1559,875
1560,875
1561,874
1562,874
1563,874
1564,873
1565,873
1566,872
1567,872
1568,872
1569,871
1570,871
1571,870
1572,870
1573,870
1574,869
1575,869
1576,868
1577,868
1578,868
1579,867
1580,867
1581,867
1582,866
1583,866
1584,865
1585,865
1586,865
1587,864
1588,864
1589,863
1590,863
1591,863
1592,862
1593,862
1594,862
1595,861
1596,861
1597,860
1598,860
1599,860
1600,859
1601,859
1602,858
1603,858
1604,858
1605,857
1606,857
1607,857
1608,856
1609,856
1610,855
1611,855
1612,855
1613,854
1614,854
1615,853
1616,853
1617,853
1618,852
1619,852
1620,852
1621,851
1622,851
1623,850
1624,850
1625,850
1626,849
1627,849
1628,848
1629,848
1630,848
1631,847
1632,847
1633,847
1634,846
1704,820
1705,820
1706,819
1707,819
1708,819
1709,818
1710,818
1711,817
1712,817
1713,817
1714,816
1715,816
1716,816
1717,815
1718,815
1719,815
1720,814
1721,814
1722,813
1723,813
1724,813
1725,812
1726,812
1727,812
1728,811
1729,811
1730,811
1731,810
1732,810
1733,809
1734,809
1735,809
1736,808
1737,808
1738,808
1739,807
1740,807
1741,806
1742,806
1743,806
1744,805
1745,805
1746,805
1747,804
1748,804
1749,804
1750,803
1751,803
1752,803
1753,802
1754,802
1755,801
1756,801
1757,801
1758,800
1759,800
1760,800
1761,799
1762,799
1763,799
1764,798
1765,798
1766,797
1767,797
1768,797
1769,796
1770,796
1771,796
1772,795
1773,795
1774,795
1775,794
1776,794
1777,793
1778,793
1779,793
1780,792
1781,792
1782,792
1783,791
1784,791
1785,791
1786,790
1787,790
1788,790
1789,789
1790,789
1791,788
1792,788
1793,788
1794,787
1795,787
1796,787
1797,786
1798,786
1799,786
1800,785
1801,785
1802,785
1803,784
1804,784
1805,783
1806,783
1807,783
1808,782
1809,782
1810,782
1811,781
1812,781
1813,781
1814,780
1815,780
1816,780
1817,779
1818,779
1819,778
1820,778
1821,778
1822,777
1823,777
1824,777
1825,776
1826,776
1827,776
1828,775
1829,775
1830,775
1831,774
1832,774
1833,774
1834,773
1835,773
1836,772
1837,772
1838,772
1839,771
1840,771
1841,771
1842,770
1843,770
1844,770
1845,769
1846,769
1847,769
1848,768
1849,768
1850,768
1851,767
1852,767
1853,767
1854,766
1855,766
1856,765
1857,765
1858,765
1859,764
1860,764
1861,764
1862,763
1863,763
1864,763
1865,762
1866,762
1867,762
1868,761
1869,761
1870,761
1871,760
1872,760
1873,760
1874,759
1875,759
1876,758
1877,758
1878,758
1879,757
1880,757
1881,757
1882,756
1883,756
1884,756
1885,755
1886,755
1887,755
1888,754
1889,754
1890,754
1891,753
1892,753
1893,753
1894,752
1895,752
1896,752
1897,751
1898,751
1899,750
1900,750
1901,750
1902,749
1903,749
1904,749
1905,748
1906,748
1907,748
1908,747
1909,747
1910,747
1911,746
1912,746
1913,746
1914,745
1915,745
1916,745
1917,744
1918,744
1919,744
1920,743
1921,743
1922,743
1923,742
1924,742
1925,741
1926,741
1927,741
1928,740
1929,740
1930,740
1931,739
1932,739
1933,739
1934,738
1935,738
1936,738
1937,737
1938,737
1939,737
1940,736
1941,736
1942,736
1943,735
1944,735
1945,735
1946,734
1947,734
1948,734
1949,733
1950,733
1951,733
1952,732
1953,732
1954,732
1955,731
1956,731
1957,731
1958,730
1959,730
1960,730
1961,729
1962,729
1963,728
1964,728
1965,728
1966,727
1967,727
1968,727
1969,726
1970,726
1971,726
1972,725
1973,725
1974,725
1975,724
1976,724
1977,724
1978,723
1979,723
1980,723
1981,722
1982,722
1983,722
1984,721
1985,721
1986,721
1987,720
1988,720
1989,720
1990,719
1991,719
1992,719
1993,718
1994,718
1995,718
1996,717
1997,717
1998,717
1999,716
2000,716
2001,716
2002,715
2003,715
2004,715
2005,714
2006,714
2007,714
2008,713
2009,713
2010,713
2011,712
2012,712
2013,712
2014,711
2015,711
2016,711
2017,710
2018,710
